epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc,lr,epoch_seconds
1,2.729180,0.455452,2.230592,0.461233,0.384008,0.460699,0.00006043,73.91
2,2.256779,0.518839,1.968899,0.593771,0.486513,0.516171,0.00012043,14.32
3,2.155523,0.540780,2.090727,0.569251,0.457204,0.526931,0.00018043,14.09
4,2.082048,0.545878,2.033863,0.625580,0.494748,0.517868,0.00024043,14.44
5,1.996848,0.567376,2.022130,0.536779,0.480602,0.568911,0.00030000,14.10
6,2.039175,0.554743,1.730638,0.626905,0.531746,0.602659,0.00029994,14.34
7,1.947563,0.567376,1.673158,0.618290,0.530741,0.605650,0.00029978,14.28
8,1.938329,0.533245,1.696243,0.624254,0.554553,0.628058,0.00029950,14.29
9,1.978283,0.566711,1.747058,0.601060,0.532629,0.623502,0.00029911,14.20
10,1.953896,0.568927,2.059673,0.500331,0.472633,0.591066,0.00029860,14.31
11,1.896681,0.591090,1.655286,0.615639,0.566281,0.650772,0.00029799,14.49
12,1.873665,0.599291,1.856938,0.559973,0.559350,0.631283,0.00029727,14.48
13,1.927199,0.583112,1.588076,0.644798,0.591139,0.649987,0.00029643,14.71
14,1.763206,0.592420,1.591137,0.662691,0.611421,0.661722,0.00029549,14.34
15,1.834494,0.616578,1.663980,0.609675,0.585504,0.661122,0.00029444,14.25
16,1.811130,0.584663,1.696653,0.624254,0.580751,0.664612,0.00029328,14.28
17,1.734024,0.598404,1.867271,0.557985,0.545173,0.624205,0.00029201,14.61
18,1.878526,0.589317,1.523116,0.681909,0.618807,0.669333,0.00029064,14.38
19,1.790351,0.599291,1.691157,0.595759,0.570350,0.644202,0.00028916,14.35
20,1.798852,0.605718,1.673058,0.595759,0.583544,0.652212,0.00028758,14.65
21,1.793338,0.597296,1.591967,0.648774,0.613057,0.684232,0.00028590,16.19
22,1.786759,0.601950,1.599386,0.662028,0.610025,0.681724,0.00028411,15.33
23,1.743479,0.603280,1.664480,0.616302,0.579263,0.668712,0.00028223,15.54
24,1.725185,0.635860,1.571625,0.639496,0.606748,0.669248,0.00028024,15.02
25,1.701742,0.615913,1.710325,0.648111,0.589913,0.647162,0.00027816,14.71
