epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1326.35,2.26177,2.84164,1.78749,0.69451,0.1612,0.17158,0.08999,2.45668,3.39957,1.7448,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,1367.24,2.23926,2.86758,1.7897,0.47279,0.21881,0.19195,0.10062,2.4342,3.22563,1.68337,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,1408.06,2.25144,2.84796,1.75775,0.57386,0.20516,0.19488,0.10726,2.4528,3.17231,1.66809,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,1449.25,2.23211,2.79108,1.75347,0.5555,0.21576,0.19073,0.098,2.4163,3.24762,1.65979,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,1490.43,2.22174,2.81384,1.76292,0.58516,0.19024,0.19446,0.10579,2.45464,3.20854,1.6856,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,1530.28,2.20127,2.78461,1.7399,0.53713,0.21441,0.19436,0.10268,2.42584,3.16943,1.67173,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,1571.41,2.19471,2.77803,1.74773,0.61706,0.19604,0.19549,0.1068,2.38843,3.2423,1.66243,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,1612.52,2.20206,2.75059,1.73052,0.54536,0.21451,0.20426,0.11106,2.42211,3.09262,1.66721,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,1652.91,2.19134,2.79692,1.73562,0.61027,0.20398,0.19959,0.10714,2.44839,3.04671,1.64145,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,1693.67,2.17601,2.7259,1.72209,0.53493,0.25069,0.20146,0.10696,2.39587,3.15114,1.64439,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,1734.19,2.17744,2.7296,1.73371,0.52031,0.22868,0.20994,0.11532,2.35902,3.13286,1.62619,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,1775.31,2.16835,2.7166,1.71315,0.77007,0.20801,0.22435,0.11967,2.31633,3.00429,1.59796,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,1816.39,2.15381,2.67573,1.69967,0.57189,0.21499,0.21747,0.11873,2.37201,3.00716,1.60721,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,1857.46,2.14789,2.70993,1.70662,0.61758,0.20661,0.20914,0.11479,2.3896,3.00382,1.62769,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,1899.3,2.13746,2.65764,1.70458,0.53574,0.23105,0.20358,0.11534,2.34117,2.99529,1.60683,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,1941.54,2.12116,2.66381,1.68661,0.62581,0.23962,0.22961,0.12366,2.33055,2.98661,1.58414,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,1984,2.1442,2.68343,1.68493,0.61343,0.22342,0.22523,0.1246,2.35771,2.98351,1.59835,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,2024.43,2.14892,2.65264,1.67805,0.49705,0.2525,0.22622,0.12416,2.34273,2.99315,1.56471,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
