epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc,lr,epoch_seconds
1,4.208551,0.219193,2.551067,0.304175,0.272437,0.371772,0.00006043,315.04
2,3.632429,0.296543,2.413261,0.385686,0.283549,0.401090,0.00012043,17.87
3,3.564334,0.316046,2.753092,0.318091,0.324267,0.440056,0.00018043,19.59
4,3.322899,0.359929,3.125670,0.363817,0.343482,0.454117,0.00024043,19.71
5,3.206308,0.389628,2.834790,0.319417,0.319364,0.409544,0.00030000,19.26
6,3.201969,0.376551,2.178294,0.423459,0.392979,0.488622,0.00029994,18.29
7,3.138471,0.418440,2.571581,0.342611,0.363825,0.486454,0.00029978,19.13
8,3.031167,0.430851,2.509015,0.328694,0.350506,0.470582,0.00029950,18.31
9,2.924785,0.430408,2.614848,0.408217,0.385832,0.481096,0.00029911,18.27
10,2.912791,0.445257,2.563545,0.412194,0.422715,0.528022,0.00029860,18.87
11,2.756541,0.456339,3.052423,0.410205,0.393509,0.543017,0.00029799,16.92
12,2.848619,0.449246,2.262951,0.414844,0.442174,0.534329,0.00029727,17.04
13,2.738217,0.468307,2.415500,0.425447,0.428976,0.526146,0.00029643,16.95
14,2.822050,0.493351,2.222273,0.396952,0.392655,0.502815,0.00029549,20.18
15,2.725278,0.477394,2.584895,0.339298,0.368486,0.477326,0.00029444,20.47
16,2.729309,0.473183,2.403044,0.388337,0.426669,0.528068,0.00029328,20.10
17,2.679255,0.479832,2.543215,0.279655,0.313808,0.480652,0.00029201,18.12
18,2.714607,0.477172,2.359153,0.461895,0.442824,0.509609,0.00029064,17.20
19,2.750632,0.490248,2.378691,0.403579,0.440034,0.544110,0.00028916,17.95
20,2.651901,0.501330,2.554239,0.375083,0.407884,0.539030,0.00028758,17.38
21,2.608059,0.512855,2.174204,0.431412,0.419824,0.534449,0.00028590,17.50
22,2.604403,0.504654,2.313465,0.391650,0.433500,0.529735,0.00028411,17.90
23,2.515541,0.514628,2.624106,0.461233,0.476645,0.560490,0.00028223,17.21
24,2.626466,0.518174,2.292393,0.422134,0.461817,0.564022,0.00028024,17.86
25,2.429771,0.521277,2.494505,0.381710,0.419906,0.546576,0.00027816,16.95
26,2.447751,0.520168,2.538809,0.456594,0.457543,0.531473,0.00027599,17.23
27,2.471623,0.513741,3.262053,0.349901,0.374395,0.539898,0.00027372,17.35
28,2.755136,0.517066,2.764440,0.347250,0.368685,0.520772,0.00027135,17.43
29,2.771708,0.488475,2.805017,0.388999,0.431759,0.541001,0.00026890,17.67
30,2.567813,0.520168,2.994047,0.331345,0.391666,0.524785,0.00026636,17.39
31,2.533049,0.519282,2.374250,0.397614,0.427840,0.572478,0.00026373,17.18
32,2.416632,0.537234,2.782741,0.418158,0.456784,0.563155,0.00026101,18.02
33,2.456730,0.536126,2.363742,0.447979,0.474172,0.579305,0.00025822,17.33
34,2.510608,0.532358,2.407393,0.430086,0.468333,0.557336,0.00025534,17.34
35,2.438395,0.531693,3.124545,0.379722,0.394847,0.543770,0.00025238,17.84
36,2.470803,0.531693,2.469195,0.442015,0.463930,0.587700,0.00024935,17.33
37,2.303316,0.549202,2.711753,0.306826,0.345380,0.517405,0.00024624,17.34
38,2.399644,0.535461,3.016298,0.388999,0.399611,0.546217,0.00024307,17.49
39,2.540168,0.538785,2.685576,0.378396,0.393531,0.558064,0.00023982,17.85
40,2.343474,0.553191,2.704712,0.431412,0.454753,0.551245,0.00023650,17.20
41,2.568189,0.529920,2.889984,0.385686,0.422077,0.567974,0.00023312,17.88
42,2.496914,0.550310,2.973194,0.388337,0.392690,0.540317,0.00022968,17.55
43,2.245922,0.568706,2.725686,0.364480,0.388545,0.526406,0.00022618,17.55
