epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,20180.5,1.43165,1.23912,1.45417,0.35555,0.36484,0.30998,0.2112,2.1228,2.85399,1.90862,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
32,20820.5,1.41441,1.20831,1.44008,0.35626,0.36336,0.31174,0.21159,2.09114,2.83292,1.90111,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425
33,21463.5,1.40207,1.17281,1.42617,0.3629,0.36171,0.31179,0.21067,2.13145,2.90163,1.93333,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
34,22104.2,1.37901,1.14545,1.41646,0.35583,0.36664,0.30741,0.2093,2.11709,2.88941,1.93241,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
35,22745,1.36569,1.12747,1.40176,0.37549,0.36822,0.31068,0.2116,2.13967,2.84829,1.95565,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
36,23386.2,1.34635,1.08992,1.38361,0.37562,0.37016,0.30907,0.20987,2.14898,2.88122,1.95808,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125
37,24028.8,1.34292,1.07909,1.38075,0.36796,0.36636,0.31307,0.21224,2.14575,2.92728,1.95106,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
38,24670,1.32419,1.04074,1.36679,0.37413,0.36205,0.31128,0.21016,2.14559,2.91259,1.97609,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475
39,25312.7,1.31024,1.02261,1.35565,0.36853,0.36742,0.31743,0.21781,2.15393,2.89614,1.98063,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
40,25953.1,1.30262,1.01079,1.34715,0.38255,0.37092,0.32063,0.21845,2.14614,2.89799,1.97255,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
41,26595.1,1.28719,0.97604,1.33568,0.3832,0.36196,0.31434,0.21289,2.16357,2.93475,1.99981,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
42,27235.7,1.27602,0.96874,1.33411,0.38686,0.35835,0.31069,0.21317,2.17526,2.94623,1.99595,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175
43,27872.6,1.26193,0.94744,1.32254,0.38566,0.35614,0.31512,0.21564,2.18082,2.90809,2.01298,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
44,28509.6,1.25023,0.93422,1.30839,0.37386,0.35978,0.31344,0.21647,2.19193,2.95173,2.03522,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525
45,29146.6,1.23772,0.90941,1.29897,0.38444,0.36031,0.30981,0.21506,2.18104,3.01421,2.03526,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
46,29785.6,1.23083,0.90151,1.29497,0.38841,0.36564,0.30924,0.21266,2.19071,3.023,2.04595,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
47,30428.5,1.21246,0.8803,1.28553,0.38199,0.35533,0.30258,0.21133,2.20542,3.04365,2.05651,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
48,31069.7,1.20521,0.86406,1.27621,0.39801,0.36028,0.30796,0.21331,2.20111,3.05616,2.0543,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225
49,31710.8,1.19304,0.84797,1.26759,0.40005,0.35368,0.30855,0.21309,2.20074,3.08565,2.05793,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
50,32354,1.18054,0.8349,1.25838,0.413,0.34982,0.30927,0.21166,2.20411,3.10684,2.0739,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575
51,32997.3,1.16579,0.82255,1.2494,0.38451,0.35501,0.30419,0.21173,2.21033,3.14482,2.07213,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
52,33639.1,1.15419,0.8124,1.24014,0.39686,0.34959,0.30691,0.20904,2.2046,3.14393,2.08026,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
53,34282.4,1.1555,0.78988,1.2411,0.40396,0.34712,0.30788,0.2093,2.21021,3.16143,2.09425,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
54,34924.2,1.13434,0.7827,1.22417,0.40192,0.35383,0.31132,0.21237,2.21505,3.15693,2.10432,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275
55,35565.2,1.12176,0.76971,1.21702,0.41143,0.34229,0.31249,0.21308,2.21774,3.15153,2.10221,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
56,36208.3,1.11451,0.75841,1.21005,0.41162,0.34104,0.30813,0.2127,2.22555,3.1573,2.11693,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625
57,36851.8,1.10789,0.74934,1.20397,0.41535,0.34239,0.30925,0.21292,2.2309,3.16786,2.12962,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
58,37493.7,1.10021,0.73135,1.20112,0.41513,0.34752,0.30949,0.21315,2.23289,3.16925,2.14283,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
59,38135,1.09165,0.72896,1.18811,0.3902,0.35416,0.30607,0.21316,2.23468,3.17323,2.13833,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
60,38775.9,1.08083,0.7207,1.18648,0.41788,0.34437,0.30537,0.21355,2.23928,3.18587,2.14061,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325
61,39419.6,1.07162,0.70325,1.17747,0.41836,0.35107,0.30599,0.21306,2.23894,3.20403,2.13125,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,40062.1,1.05808,0.69743,1.16711,0.40725,0.35739,0.30348,0.21248,2.24837,3.21471,2.14109,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675
63,40704.4,1.05096,0.68385,1.16256,0.4119,0.35254,0.30393,0.21176,2.25848,3.23293,2.14643,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
64,41347.1,1.04866,0.67219,1.15807,0.41775,0.35805,0.30429,0.2121,2.25541,3.23871,2.14254,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
65,41989.9,1.0361,0.66729,1.14974,0.41834,0.3555,0.30653,0.21297,2.25445,3.24453,2.14081,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
66,42633.9,1.03018,0.6625,1.14667,0.42563,0.35412,0.30614,0.21277,2.24964,3.25595,2.14132,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375
67,43277,1.02089,0.65203,1.1414,0.42747,0.35062,0.30581,0.21256,2.25545,3.25337,2.14999,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
68,43919.3,1.01003,0.64311,1.13481,0.41391,0.35891,0.30654,0.21315,2.26014,3.26509,2.15921,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725
69,44561.5,0.9962,0.63431,1.1222,0.42138,0.352,0.30448,0.21375,2.25897,3.26986,2.16208,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
70,45203.6,0.99537,0.6295,1.12491,0.42578,0.35316,0.30656,0.21326,2.26253,3.2801,2.16605,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
71,45846,0.98491,0.61634,1.119,0.43219,0.35148,0.30856,0.21351,2.26394,3.29599,2.17019,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
