epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc,lr,epoch_seconds
1,2.561259,0.481605,2.180351,0.418820,0.330936,0.403145,0.00006043,208.08
2,2.189752,0.531472,2.099706,0.447316,0.398262,0.446304,0.00012043,17.22
3,2.119660,0.536569,2.106100,0.475812,0.387650,0.457005,0.00018043,16.67
4,2.013168,0.550754,1.988899,0.509609,0.444282,0.490808,0.00024043,17.32
5,1.978817,0.558954,1.920317,0.476474,0.439118,0.510619,0.00030000,16.57
6,1.925968,0.573360,1.930244,0.497681,0.473734,0.551918,0.00029994,16.36
7,1.827374,0.586436,1.901138,0.457256,0.445749,0.499933,0.00029978,17.21
8,1.791775,0.592420,1.752728,0.546720,0.498128,0.576950,0.00029950,16.53
9,1.752431,0.601285,1.692930,0.563950,0.511720,0.561445,0.00029911,17.40
10,1.708877,0.613918,1.789161,0.539430,0.493549,0.548457,0.00029860,16.58
11,1.696013,0.620124,1.741584,0.569914,0.500898,0.557703,0.00029799,16.67
12,1.678768,0.626551,1.739805,0.517561,0.492722,0.567751,0.00029727,16.65
13,1.645005,0.628768,1.731904,0.548045,0.513080,0.585411,0.00029643,16.60
14,1.635742,0.623892,1.725811,0.548045,0.505875,0.587303,0.00029549,16.89
15,1.617244,0.627881,1.676358,0.550696,0.520657,0.586957,0.00029444,16.55
16,1.623138,0.622340,1.671431,0.526176,0.479395,0.570314,0.00029328,16.62
17,1.562836,0.638298,1.717033,0.533466,0.501677,0.587256,0.00029201,17.23
18,1.537437,0.651152,1.764851,0.534791,0.509643,0.610162,0.00029064,16.56
19,1.517717,0.651374,1.619162,0.576541,0.527917,0.606118,0.00028916,16.84
20,1.549494,0.635417,1.650834,0.568588,0.509949,0.602634,0.00028758,17.05
21,1.521214,0.648493,1.636580,0.600398,0.540422,0.609090,0.00028590,16.47
22,1.499160,0.651596,1.561936,0.615639,0.546569,0.602152,0.00028411,17.02
23,1.492610,0.658466,1.733907,0.561962,0.527681,0.608148,0.00028223,16.73
24,1.482647,0.657801,1.649462,0.538767,0.503178,0.605285,0.00028024,16.65
25,1.463033,0.663564,1.639881,0.593771,0.552755,0.621354,0.00027816,16.97
26,1.461128,0.661126,1.661469,0.551359,0.517776,0.577811,0.00027599,16.57
27,1.410721,0.673316,1.580081,0.626243,0.563505,0.607804,0.00027372,16.64
28,1.420134,0.674645,1.715876,0.554672,0.527816,0.606942,0.00027135,16.47
29,1.421932,0.667775,1.525487,0.600398,0.555538,0.624310,0.00026890,16.73
