epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc,lr,epoch_seconds
1,1.243704,0.750665,1.374167,0.752154,0.709281,0.736198,0.00000602,149.73
2,1.257934,0.727394,1.371892,0.742876,0.702848,0.737081,0.00001202,72.80
3,1.266632,0.727394,1.390077,0.734924,0.700303,0.731187,0.00001802,72.71
4,1.307725,0.721853,1.342378,0.749503,0.709010,0.736702,0.00002402,67.66
5,1.299702,0.723626,1.405406,0.729622,0.688701,0.729882,0.00003000,68.21
6,1.329498,0.718528,1.470947,0.745527,0.710098,0.739796,0.00002994,72.88
7,1.229561,0.708777,1.433510,0.743539,0.700007,0.740201,0.00002976,73.22
8,1.376305,0.690824,1.365702,0.738900,0.697012,0.736066,0.00002946,73.65
9,1.275945,0.710550,1.326987,0.771372,0.727009,0.751760,0.00002904,73.98
10,1.326955,0.707668,1.442743,0.740225,0.688817,0.730677,0.00002851,73.52
11,1.227173,0.747119,1.393453,0.745527,0.702470,0.736272,0.00002788,73.26
12,1.202276,0.727394,1.348679,0.760769,0.716488,0.742362,0.00002714,73.31
13,1.294359,0.725177,1.419597,0.736249,0.704986,0.744017,0.00002630,73.12
14,1.319495,0.722739,1.401917,0.764082,0.722884,0.759530,0.00002537,72.71
15,1.261153,0.715204,1.380961,0.750828,0.714643,0.745889,0.00002435,72.54
16,1.292829,0.722074,1.356604,0.755467,0.715414,0.749797,0.00002326,72.68
17,1.314947,0.690381,1.420232,0.755467,0.712080,0.749695,0.00002211,66.30
18,1.214334,0.746232,1.395275,0.750828,0.712483,0.744218,0.00002090,69.41
19,1.187966,0.742465,1.379426,0.766733,0.725120,0.755504,0.00001964,73.23
20,1.166514,0.735151,1.383353,0.774023,0.731583,0.760510,0.00001834,72.68
21,1.180577,0.713874,1.361649,0.771372,0.724171,0.752663,0.00001701,72.70
22,1.251688,0.743794,1.386151,0.769384,0.724440,0.753875,0.00001567,72.27
23,1.183486,0.744459,1.407372,0.760106,0.721084,0.753110,0.00001433,73.51
24,1.232840,0.731383,1.353542,0.768721,0.729039,0.757640,0.00001299,73.35
25,1.216635,0.728280,1.427212,0.770046,0.724460,0.750616,0.00001166,73.59
26,1.241398,0.727615,1.302151,0.766070,0.723554,0.753075,0.00001036,73.84
27,1.230295,0.734929,1.313924,0.767396,0.725492,0.753515,0.00000910,73.64
28,1.172316,0.747562,1.411040,0.756793,0.715686,0.749901,0.00000789,73.72
29,1.220985,0.736924,1.368545,0.757455,0.713519,0.742158,0.00000674,73.17
30,1.130214,0.755984,1.333309,0.770709,0.725209,0.751150,0.00000565,69.29
31,1.176552,0.726729,1.367167,0.769384,0.723470,0.745352,0.00000463,67.27
32,1.127182,0.749113,1.392674,0.748840,0.712602,0.749710,0.00000370,72.66
33,1.177989,0.744238,1.361300,0.760106,0.720046,0.748440,0.00000286,72.87
34,1.159683,0.742465,1.340507,0.770709,0.725711,0.748454,0.00000212,72.91
35,1.188895,0.740248,1.364142,0.774023,0.722195,0.746013,0.00000149,72.53
36,1.125203,0.746454,1.371758,0.766070,0.721223,0.742671,0.00000096,72.74
37,1.198333,0.748670,1.356633,0.765408,0.721764,0.747092,0.00000054,72.61
38,1.135681,0.747784,1.397512,0.754805,0.713351,0.744572,0.00000024,72.45
39,1.199733,0.751551,1.380294,0.765408,0.723614,0.750771,0.00000006,72.97
40,1.153162,0.754654,1.344759,0.768058,0.724423,0.748520,0.00000000,73.72
