epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc,lr,epoch_seconds
1,1.351041,0.728059,1.613859,0.711730,0.679015,0.718297,0.00000604,81.41
2,1.392492,0.717199,1.564665,0.726309,0.686923,0.727539,0.00001204,19.87
3,1.371441,0.736037,1.553395,0.742876,0.689209,0.724793,0.00001804,19.88
4,1.316579,0.726729,1.644072,0.734924,0.688627,0.724680,0.00002404,19.74
5,1.247002,0.730275,1.666291,0.734261,0.685450,0.718857,0.00003000,19.97
6,1.366426,0.723404,1.606018,0.715043,0.671519,0.710576,0.00002998,19.95
7,1.367559,0.700133,1.614843,0.703115,0.672082,0.718120,0.00002990,19.86
8,1.344375,0.658688,1.676010,0.681909,0.650983,0.700100,0.00002978,19.72
9,1.436805,0.695257,1.761012,0.695825,0.664808,0.709528,0.00002961,19.95
10,1.442186,0.684176,1.736573,0.711067,0.675038,0.715646,0.00002939,19.92
11,1.304142,0.734264,1.647969,0.707753,0.670566,0.709859,0.00002913,19.99
12,1.397396,0.709663,1.786857,0.686547,0.664371,0.711934,0.00002882,20.05
13,1.487912,0.697252,1.642725,0.699801,0.661705,0.695226,0.00002846,20.21
14,1.260984,0.706560,1.646461,0.721007,0.680454,0.707903,0.00002806,19.94
15,1.331423,0.741356,1.720744,0.685885,0.656352,0.692977,0.00002762,20.03
16,1.378611,0.693706,1.758867,0.699139,0.663704,0.707469,0.00002714,19.98
17,1.258368,0.720301,1.722755,0.724321,0.679973,0.716987,0.00002661,20.03
18,1.412399,0.701684,1.767855,0.721007,0.684866,0.717662,0.00002605,20.06
19,1.411226,0.718307,1.685913,0.726309,0.673249,0.697349,0.00002545,19.85
20,1.449090,0.712766,1.779483,0.699801,0.669619,0.708189,0.00002482,20.04
21,1.396835,0.718307,1.717530,0.722333,0.685097,0.726008,0.00002416,19.86
22,1.383409,0.712988,1.725774,0.723658,0.681943,0.716838,0.00002347,19.83
23,1.326669,0.713209,1.625516,0.708416,0.670655,0.709054,0.00002275,19.57
24,1.363613,0.746676,1.778189,0.715706,0.682859,0.719866,0.00002200,19.80
25,1.321113,0.729832,1.780474,0.703115,0.667311,0.708239,0.00002123,20.09
26,1.474606,0.711436,1.736807,0.710404,0.672631,0.711948,0.00002044,20.08
27,1.420720,0.706117,1.867231,0.699801,0.668980,0.705351,0.00001964,20.18
28,1.336407,0.724956,1.688116,0.731610,0.689134,0.719161,0.00001881,20.27
29,1.383650,0.687943,1.709607,0.719682,0.677533,0.708658,0.00001798,19.67
30,1.378326,0.709441,1.766161,0.721670,0.677728,0.708506,0.00001713,19.63
31,1.385894,0.735372,1.782244,0.703777,0.667749,0.703456,0.00001628,19.91
32,1.274807,0.754654,1.697939,0.724983,0.687811,0.724197,0.00001543,19.93
33,1.358598,0.708998,1.767529,0.689861,0.654186,0.698581,0.00001457,19.96
34,1.346249,0.699246,1.788802,0.705765,0.670018,0.713181,0.00001372,19.81
35,1.259792,0.717199,1.779232,0.724983,0.680541,0.711512,0.00001287,19.80
36,1.213602,0.747119,1.712283,0.722333,0.685896,0.719825,0.00001202,19.78
37,1.142718,0.759752,1.719195,0.709079,0.675763,0.714875,0.00001119,19.73
38,1.440280,0.718972,1.745328,0.736249,0.694360,0.716842,0.00001036,19.81
39,1.366360,0.715647,1.649372,0.735586,0.688356,0.718419,0.00000956,19.85
40,1.468124,0.687722,1.732384,0.701127,0.667691,0.706836,0.00000877,19.89
41,1.263663,0.720301,1.691388,0.740888,0.694807,0.724029,0.00000800,19.91
42,1.415243,0.711658,1.701983,0.728960,0.686120,0.723838,0.00000725,19.72
43,1.369820,0.705674,1.708949,0.731610,0.688959,0.724521,0.00000653,20.58
44,1.426838,0.694592,1.701474,0.732273,0.687597,0.717264,0.00000584,19.74
45,1.354802,0.713209,1.657961,0.726309,0.684020,0.715550,0.00000518,19.84
46,1.289438,0.738032,1.650741,0.732273,0.688345,0.720692,0.00000455,19.77
47,1.233461,0.708333,1.645272,0.727634,0.685712,0.721461,0.00000395,19.83
48,1.350743,0.715204,1.658081,0.737575,0.693946,0.723622,0.00000339,19.92
49,1.226980,0.745567,1.673706,0.719019,0.677897,0.715849,0.00000286,19.98
50,1.430811,0.684176,1.654305,0.729622,0.685554,0.717943,0.00000238,19.65
51,1.284308,0.707225,1.726211,0.728960,0.690266,0.719079,0.00000194,19.87
52,1.342562,0.725842,1.657328,0.719019,0.682590,0.717238,0.00000154,19.85
53,1.282293,0.709220,1.736308,0.722333,0.680922,0.716067,0.00000118,19820.75
54,1.381641,0.718528,1.729395,0.717031,0.679294,0.714255,0.00000087,20.17
55,1.416658,0.729167,1.701069,0.735586,0.688289,0.725287,0.00000061,19.90
56,1.331410,0.743573,1.704428,0.730948,0.684413,0.717673,0.00000039,20.14
57,1.272445,0.724069,1.689251,0.719019,0.679106,0.716919,0.00000022,20.25
58,1.252742,0.675532,1.731246,0.735586,0.690361,0.716961,0.00000010,20.16
59,1.259708,0.743351,1.671040,0.737575,0.693071,0.727003,0.00000002,19.87
60,1.250149,0.747340,1.733862,0.729622,0.690515,0.726834,0.00000000,19.72
