epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc,lr,epoch_seconds
1,3.938002,0.256871,2.582878,0.322068,0.329710,0.434075,0.00006043,190.69
2,3.481468,0.329787,2.469577,0.317429,0.319082,0.423039,0.00012043,70.59
3,3.313688,0.354610,2.498645,0.348575,0.295271,0.385224,0.00018043,63.82
4,3.260894,0.356605,2.527210,0.277667,0.307549,0.423214,0.00024043,61.58
5,3.041571,0.401374,2.331414,0.339298,0.345718,0.440929,0.00030000,61.69
6,3.007726,0.424645,2.147730,0.428761,0.409848,0.523657,0.00029994,60.22
7,2.853208,0.439938,2.018402,0.421471,0.426967,0.498340,0.00029978,63.34
8,2.730623,0.455230,2.111928,0.410868,0.427389,0.542824,0.00029950,65.11
9,2.736467,0.454122,2.256929,0.476474,0.479728,0.563083,0.00029911,63.65
10,2.646032,0.482270,1.950236,0.465209,0.470915,0.578661,0.00029860,60.21
11,2.691445,0.485372,2.271609,0.412194,0.423786,0.530985,0.00029799,60.08
12,2.603243,0.487367,2.247048,0.430749,0.429143,0.562641,0.00029727,61.09
13,2.833244,0.476729,2.276664,0.363154,0.385008,0.494589,0.00029643,64.75
14,2.682513,0.474512,2.080771,0.449304,0.452875,0.571199,0.00029549,68.30
15,2.585683,0.499113,2.434099,0.408880,0.423212,0.533298,0.00029444,64.60
16,2.619488,0.503324,2.577979,0.397614,0.423141,0.556972,0.00029328,67.00
17,2.527422,0.512633,2.363762,0.394301,0.418021,0.548391,0.00029201,65.14
18,2.537322,0.507092,2.093415,0.479788,0.477480,0.597383,0.00029064,65.27
19,2.399987,0.524379,2.465074,0.436713,0.473710,0.571504,0.00028916,65.21
20,2.459687,0.521720,2.411657,0.428761,0.464804,0.578541,0.00028758,62.72
21,2.464302,0.531915,2.412539,0.467860,0.481672,0.577908,0.00028590,63.35
22,2.462023,0.533245,2.178264,0.431412,0.464523,0.573174,0.00028411,62.66
23,2.466586,0.521941,2.360238,0.482439,0.442153,0.526066,0.00028223,61.87
24,2.387186,0.533910,2.400983,0.418158,0.429509,0.569311,0.00028024,59.90
25,2.378157,0.537012,2.284172,0.419483,0.440347,0.545627,0.00027816,61.76
26,2.322404,0.527261,2.605792,0.385023,0.448947,0.554586,0.00027599,62.87
27,2.397416,0.550310,2.210217,0.436050,0.436370,0.546667,0.00027372,60.99
28,2.088740,0.577128,2.191651,0.469185,0.466562,0.591590,0.00027135,61.38
29,2.309252,0.545434,2.710693,0.416832,0.430749,0.559838,0.00026890,60.85
30,2.218893,0.579787,2.265677,0.422797,0.435296,0.571016,0.00026636,63.08
31,2.213603,0.574468,2.251753,0.455268,0.468568,0.592856,0.00026373,61.82
32,2.114531,0.586658,2.444902,0.437376,0.479932,0.580757,0.00026101,60.45
33,2.096699,0.585106,2.576015,0.398277,0.444722,0.572450,0.00025822,62.36
34,2.160157,0.574468,2.475423,0.419483,0.470077,0.544846,0.00025534,62.49
35,2.230997,0.574690,2.570551,0.424785,0.455274,0.569562,0.00025238,59.70
36,2.055942,0.577793,2.283729,0.447979,0.452828,0.581489,0.00024935,61.08
37,2.234922,0.588431,2.595404,0.425447,0.446872,0.575361,0.00024624,62.59
38,1.957365,0.617465,2.409778,0.431412,0.471096,0.565506,0.00024307,62.42
