epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3187.65,2.06805,2.53054,1.72422,0.5735,0.22178,0.22353,0.13218,2.37701,3.13415,1.71074,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,3287.72,2.06122,2.54122,1.74168,0.50143,0.25376,0.22684,0.12981,2.38621,3.03885,1.68533,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3388.03,2.06875,2.52594,1.70022,0.46637,0.27728,0.22831,0.13166,2.37367,2.96689,1.64725,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3488.3,2.04701,2.49305,1.7057,0.48174,0.27183,0.23386,0.13367,2.35757,3.00635,1.66639,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3588.39,2.03541,2.49055,1.69123,0.51263,0.26526,0.24234,0.14228,2.3413,2.94016,1.65952,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3688.05,2.02395,2.46705,1.70251,0.5441,0.2491,0.23244,0.13753,2.36235,2.98249,1.68938,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3787.97,2.02037,2.46319,1.69865,0.43464,0.23677,0.22969,0.13724,2.3384,3.03234,1.66794,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3888.05,2.02611,2.43053,1.66583,0.42373,0.24817,0.22777,0.13987,2.33506,2.78557,1.63254,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,3988.04,2.01316,2.45007,1.684,0.41742,0.27217,0.24755,0.14752,2.30926,2.84494,1.63619,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,4088.15,1.98694,2.38627,1.66404,0.50002,0.27579,0.24495,0.14522,2.30885,2.82044,1.64108,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,4187.99,1.99278,2.42176,1.6736,0.50875,0.26346,0.24321,0.14344,2.30367,2.80719,1.6376,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,4288.47,2.00268,2.40954,1.66587,0.51991,0.26122,0.24707,0.15044,2.26066,2.93379,1.62069,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,4388.48,1.97293,2.35257,1.64552,0.52226,0.27672,0.25001,0.14922,2.31678,2.79176,1.64687,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,4488.47,1.96077,2.38794,1.64343,0.42465,0.26744,0.24845,0.14204,2.28213,2.85195,1.61353,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,4588.19,1.94582,2.33559,1.64296,0.56594,0.27472,0.25507,0.14507,2.26917,2.79876,1.60969,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,4688.34,1.94536,2.3475,1.63409,0.51786,0.27876,0.25346,0.14858,2.28725,2.80792,1.60429,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,4788.3,1.97402,2.3519,1.63551,0.4205,0.29495,0.26318,0.15388,2.2847,2.68991,1.60542,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,4888.09,1.9557,2.31945,1.63052,0.40535,0.30115,0.26302,0.15721,2.2726,2.69057,1.58587,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,4988.2,1.95797,2.28514,1.62946,0.55092,0.28391,0.26864,0.16285,2.28592,2.68459,1.61828,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,5088.26,1.92122,2.28286,1.6335,0.53143,0.26943,0.25522,0.15766,2.28097,2.71504,1.60436,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,5188.85,1.91738,2.25861,1.61487,0.43009,0.28912,0.26073,0.15311,2.27997,2.66949,1.57982,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,5289.12,1.92264,2.27327,1.61448,0.54233,0.28788,0.26959,0.15956,2.24971,2.64751,1.58864,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
