epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc,lr,epoch_seconds
1,4.046282,0.242908,2.248421,0.376408,0.326329,0.388632,0.00006043,287.46
2,3.340574,0.351285,2.628836,0.330020,0.342962,0.441539,0.00012043,16.79
3,3.463830,0.328679,2.256853,0.355865,0.355851,0.471490,0.00018043,16.97
4,3.316228,0.361702,2.404069,0.347250,0.349003,0.466854,0.00024043,16.43
5,3.247715,0.375222,2.564569,0.318091,0.332680,0.454577,0.00030000,17.01
6,3.094291,0.406472,2.119055,0.441352,0.420954,0.487522,0.00029994,16.66
7,2.849932,0.442376,2.439701,0.433400,0.441385,0.529105,0.00029978,16.54
8,2.827070,0.455009,2.289894,0.458582,0.449591,0.517229,0.00029950,16.58
9,2.777973,0.456560,2.337911,0.425447,0.422118,0.547028,0.00029911,16.55
10,2.819032,0.466090,2.177499,0.459907,0.452275,0.545004,0.00029860,16.53
11,2.775435,0.494238,2.358036,0.404904,0.416965,0.544371,0.00029799,16.46
12,2.718925,0.478723,2.472304,0.452618,0.440561,0.556724,0.00029727,16.31
13,2.577194,0.498227,2.132227,0.436050,0.458412,0.565055,0.00029643,17.21
14,2.530328,0.507535,2.121170,0.471173,0.459359,0.565956,0.00029549,16.70
15,2.564316,0.511525,2.305207,0.425447,0.444615,0.538198,0.00029444,17.01
16,2.530056,0.504654,2.185478,0.465209,0.478675,0.563503,0.00029328,16.73
17,2.497726,0.532358,2.488547,0.451955,0.447053,0.532476,0.00029201,16.27
18,2.637475,0.504654,2.117154,0.512260,0.489308,0.571023,0.00029064,16.78
19,2.517027,0.534131,2.150843,0.510272,0.496097,0.576274,0.00028916,16.61
20,2.448962,0.517509,2.658854,0.410205,0.410951,0.537785,0.00028758,16.77
21,2.481707,0.537456,2.580013,0.410205,0.449668,0.568894,0.00028590,16.76
22,2.283388,0.559840,2.221256,0.442677,0.431989,0.567765,0.00028411,16.54
23,2.321627,0.544326,2.734087,0.359841,0.422949,0.524869,0.00028223,16.70
24,2.420527,0.556294,2.723596,0.414182,0.434192,0.560893,0.00028024,16.36
25,2.390942,0.545656,2.518039,0.479788,0.492363,0.594277,0.00027816,16.64
26,2.400594,0.544548,2.868358,0.356528,0.420993,0.534716,0.00027599,16.71
27,2.184044,0.570700,2.035591,0.487078,0.474580,0.584561,0.00027372,16.39
28,2.164922,0.557624,2.358216,0.433400,0.468187,0.562122,0.00027135,16.95
29,2.209742,0.565603,2.415754,0.408217,0.451018,0.559228,0.00026890,16.46
30,2.316685,0.544105,2.755679,0.423459,0.442820,0.557205,0.00026636,17.16
31,2.151435,0.563608,2.595735,0.420808,0.450555,0.572822,0.00026373,16.53
32,2.175801,0.569592,2.868650,0.392313,0.439929,0.557724,0.00026101,16.40
33,2.253091,0.569149,2.592429,0.408880,0.445061,0.565345,0.00025822,17.22
