epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc,lr,epoch_seconds
1,2.428639,0.495567,1.939976,0.510272,0.401447,0.473393,0.00006043,295.76
2,1.882014,0.593528,1.862665,0.563950,0.478896,0.512571,0.00012043,12.06
3,1.717000,0.617021,1.679077,0.607687,0.513676,0.564739,0.00018043,145.08
4,1.693710,0.615248,2.087284,0.485089,0.462214,0.575931,0.00024043,73.11
5,1.599545,0.654034,1.651407,0.582505,0.535881,0.592015,0.00030000,72.29
6,1.540940,0.654920,1.402231,0.648774,0.572854,0.601961,0.00029994,73.50
7,1.472878,0.661126,1.839022,0.577203,0.531905,0.618127,0.00029978,69.71
8,1.453735,0.664450,1.492840,0.608350,0.569129,0.638940,0.00029950,70.77
9,1.393883,0.677305,1.522984,0.620278,0.562681,0.632894,0.00029911,74.29
10,1.363438,0.681294,1.467906,0.634858,0.586784,0.642578,0.00029860,71.56
11,1.318108,0.693706,1.555967,0.542081,0.547687,0.624830,0.00029799,66.02
12,1.295708,0.693041,1.486129,0.629556,0.590031,0.654779,0.00029727,68.08
13,1.304980,0.689716,1.430981,0.654076,0.604238,0.658894,0.00029643,75.41
14,1.269900,0.697917,1.352547,0.673956,0.607112,0.665815,0.00029549,67.94
15,1.266738,0.702349,1.322561,0.704440,0.635680,0.642750,0.00029444,70.06
16,1.221817,0.706560,1.465253,0.646786,0.619878,0.673156,0.00029328,67.63
17,1.199375,0.718528,1.471582,0.686547,0.622616,0.683650,0.00029201,66.03
18,1.195689,0.718528,1.265283,0.714380,0.659685,0.695637,0.00029064,64.52
19,1.181543,0.712544,1.389821,0.671306,0.636068,0.684573,0.00028916,65.66
20,1.142923,0.723404,1.467715,0.605699,0.591647,0.664313,0.00028758,66.14
21,1.137043,0.724069,1.575529,0.600398,0.588564,0.675542,0.00028590,65.87
22,1.146323,0.720080,1.370498,0.668655,0.610137,0.644636,0.00028411,66.99
23,1.090730,0.735594,1.264013,0.700464,0.656200,0.708914,0.00028223,65.67
24,1.113475,0.730275,1.174250,0.740225,0.685010,0.717938,0.00028024,66.14
25,1.062598,0.740691,1.280762,0.679258,0.651118,0.702014,0.00027816,66.17
26,1.043498,0.742465,1.288053,0.706428,0.659557,0.688835,0.00027599,65.44
27,1.039413,0.751108,1.288005,0.685885,0.662041,0.721819,0.00027372,64.93
28,1.014644,0.748449,1.259396,0.709079,0.659600,0.701993,0.00027135,66.41
29,1.000168,0.753989,1.288554,0.697150,0.645382,0.697230,0.00026890,67.19
30,1.016847,0.748005,1.319634,0.687210,0.647379,0.693088,0.00026636,66.15
31,1.020888,0.753989,1.283490,0.699801,0.645801,0.687887,0.00026373,68.88
